tutkintokerta,koulun_nro,koulun_nimi,opetuskieli,tyyppi,sukup,yht,A,O,Z,I,W,Q,A5,O5,M,N,BI,FF,FY,HI,PS,UE,UO,ET,GE,KE,TE,YH,BA,BB,CA,CB,EA,FA,SA,PA,VA,EC,FC,SC,PC,VC,DC,IC,QC,GC,TC,L1,L7,opintotausta
2022K,1488,Vieremän lukio,FI,,2,18,3,,,,,,,,,,,,,,4,,,,,,5,,,4,,,2,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,36,6,,,,,,,,,5,5,,,,5,,,,,,6,,,5,,,4,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,1,29,7,,,,,,,,6,,5,,5,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,1,31,6,,,,,,,,4,,5,,4,,,,,,,,6,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,25,4,,,,,,,,,3,4,,,5,,,,,,,3,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,1,12,,,,,,,3,,,3,,,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,24,6,,,,,,,,,,,,,,4,,,,,,5,,,3,,,6,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,19,4,,,,,,,,,4,4,,,,,,,,,,4,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,14,3,,,,,,,,,2,,,,,,4,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,18,5,,,,,,,,,,,,,,,,,,4,,3,,,3,,,3,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,31,7,,,,,,,,5,,5,,,6,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,15,3,,,,,,,,,3,,,,,2,,,,,,3,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,1,19,2,,,,,,,,4,,4,,3,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,2,17,5,,,,,,,,,,,,,,,,,,,,3,,,5,,,4,,,,,,,,,,,,,,,,,1
2022K,1488,Vieremän lukio,FI,,1,13,3,,,,,,,,,,,,,3,,2,,,,,,3,,0,,,2,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,22,5,,,,,,,,,4,,,,5,,,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,26,6,,,,,,,,5,,,,5,,,,,,,,,,,4,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,31,6,,,,,,,,,6,,,,,,,,,,,,,6,,,,7,,,,,,6,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,40,7,,,,,,,,,5,,,,,,,,,6,,,5,,6,,,5,,,,,,,6,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,32,6,,,,,,,,6,,,,5,5,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,16,,,,,,,5,,,3,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,25,5,,,,,,,,,5,,,,,4,5,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,20,4,,,,,,,,,,,,,,,,,,,,4,4,,4,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,16,2,,,,,,,,,,,,,2,,3,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,28,7,,,,,,,,,7,4,,,,6,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,16,3,,,,,,,,,3,,,,,,,,,,,4,4,,,,,2,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,43,6,,,,,,,,,7,,,,7,7,6,,,,,,6,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,27,5,,,,,,,,,4,,5,,3,,,,,,,,4,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,36,5,,,,,,,,,5,,,,,,,,,,,,,,7,,,7,,,,,,,6,6,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,21,5,,,,,,,,5,,5,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,19,5,,,,,,,,,4,,,,,3,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,26,,,,,,,4,,6,,,,5,,,,,,,4,,,,,,,,,,,7,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,14,3,,,,,,,,,3,,,,,3,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,26,4,,,,,,,,,3,,6,,,,,,,,,5,,,,,,3,,,,,,,5,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,35,6,,,,,,,,,6,6,,6,,,,,,6,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,18,3,,,,,,,,,,,,,,,4,,,,,4,,,4,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,21,4,,,,,,,,,4,,,,4,,,,,,,,5,,,,,4,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,19,3,,,,,,,,,4,4,,3,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,28,3,,,,,,,,5,,,,,,,,,,6,,,4,,,,,5,,,,,,,5,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,16,3,,,,,,,,3,,,,2,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,1,28,5,,,,,,,,6,,,,6,,,,,,,5,,,,,,,6,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,20,5,,,,,,,,,3,,,,4,5,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1
2022K,1093,Espoonlahden lukio,FI,,2,22,4,,,,,,,,,4,,,,,,,,,4,,,,,6,,,4,,,,,,,,,,,,,,,,,1
